date,close,volume
1/16/2008,21.41,2290400
1/15/2008,21.78,5419700
1/14/2008,21.28,4561300
1/11/2008,21.78,4425600
1/10/2008,22.16,4039000
1/9/2008,23.08,4987200
1/8/2008,22.72,4538700
1/7/2008,23.23,5341200
1/4/2008,23.42,5629600
1/3/2008,23.33,7793700
1/2/2008,22.06,3888600
12/28/2007,22.38,2063400
12/27/2007,22.44,1881400
12/26/2007,22.44,2100300
12/25/2007,22.14,3558300
12/24/2007,21.19,4771000
12/21/2007,20.32,1755300
12/20/2007,20.45,2168800
12/19/2007,20.22,2321000
12/18/2007,20.28,1637700
12/17/2007,20.37,2435000
12/14/2007,20.01,3495800
12/13/2007,19.85,4703500
12/12/2007,19.52,3514500
12/11/2007,18.43,2050200
12/10/2007,18.69,2747100
12/7/2007,17.92,2590700
12/6/2007,17.79,1790900
12/5/2007,18.14,2170100
12/4/2007,18.25,835200
12/3/2007,18.08,603900
11/30/2007,18.07,692600
11/29/2007,18.28,1133600
11/28/2007,17.99,1156700
11/27/2007,18.43,919200
11/26/2007,19.01,1979400
11/23/2007,18.68,929900
11/22/2007,18.68,1371400
11/21/2007,19.79,1352400
11/20/2007,20.01,1399500
11/19/2007,19.99,681500
11/16/2007,19.87,675400
11/15/2007,20.05,675200
11/14/2007,20.4,994300
11/13/2007,20.14,1572400
11/12/2007,19.48,1355200
11/9/2007,19.01,757300
11/8/2007,19.22,663700
11/7/2007,19.82,743500
11/6/2007,19.8,605900
11/5/2007,19.75,866000
11/2/2007,19.53,1042100
11/1/2007,20.68,1012000
10/31/2007,21.22,2764900
10/30/2007,19.88,1998700
10/29/2007,18.16,1198400
10/26/2007,17.78,2761300
10/25/2007,17.2,1686800
10/24/2007,18.45,1312100
10/23/2007,19.3,2460300
10/22/2007,18.89,2360900
10/19/2007,19.95,2061900
10/18/2007,20.81,2103900
10/17/2007,21.44,1051100
10/16/2007,22.12,1956800
10/15/2007,21.91,1853600
10/12/2007,22.39,2866900
10/11/2007,22.62,2367200
10/10/2007,22.98,1829500
10/9/2007,23.08,1738100
10/8/2007,22.98,2708500
9/28/2007,22.92,2688000
9/27/2007,22.49,1087300
9/26/2007,22.38,1412200
9/25/2007,22.36,1448200
9/24/2007,22.88,1763700
9/21/2007,22.81,3215100
9/20/2007,23.22,1860500
9/19/2007,23.55,5225100
9/18/2007,22.37,2230500
9/17/2007,22.36,2620900
9/14/2007,22.46,1620600
9/13/2007,22.37,1849000
9/12/2007,22.2,3834000
9/11/2007,21.38,2272300
9/10/2007,23.24,2891200
9/7/2007,22.34,3294800
9/6/2007,22.83,3104200
9/5/2007,23.4,2035800
9/4/2007,23.7,2437500
9/3/2007,23.99,3993900
8/31/2007,23.1,1911100
8/30/2007,23.11,4279500
8/29/2007,22.61,3181800
8/28/2007,23.1,2549100
8/27/2007,23.48,4574600
8/24/2007,23.35,6835800
8/23/2007,22.99,8388900
8/22/2007,20.9,4879200
8/21/2007,20.78,3723000
8/20/2007,20.6,3744400
8/17/2007,19.65,2532600
8/16/2007,20,3177600
8/15/2007,19.67,3442200
8/14/2007,19.93,3962300
8/10/2007,19.16,3644700
8/9/2007,19.05,3884100
8/8/2007,19.23,4391400
8/7/2007,19.93,4563200
8/6/2007,20.46,5922400
8/3/2007,20.42,6296700
8/2/2007,19.79,6440700
8/1/2007,18.45,8322400
7/31/2007,18.59,5625100
7/27/2007,17.59,6123800
7/26/2007,18.09,5171700
7/25/2007,17.86,5843500
7/24/2007,17.34,11967900
7/23/2007,17.02,14885300
7/20/2007,15.47,9173000
7/19/2007,14.9,6430700
7/18/2007,14.38,3295300
7/17/2007,14.25,3799100
7/13/2007,14.4,1992800
7/12/2007,14.41,4588400
7/10/2007,14.2,4157100
7/9/2007,14.37,5392200
7/6/2007,14.36,6412900
7/5/2007,13.91,7064000
7/4/2007,15.46,8340200
7/3/2007,16.21,14767000
7/2/2007,15.06,5910400
6/29/2007,14.6,6585300
6/28/2007,14.62,6591100
6/27/2007,15.37,8441800
6/26/2007,14.5,9744900
6/25/2007,13.71,11943300
6/22/2007,14.26,15644500
6/20/2007,14.98,8882800
6/19/2007,15.85,8540500
6/18/2007,15.18,8602000
6/15/2007,14.45,6972600
6/14/2007,14.31,9105700
6/13/2007,14.03,9577200
6/12/2007,13.81,17480900
6/11/2007,12.55,6653700
6/8/2007,11.41,7785000
6/7/2007,11.57,9007500
6/6/2007,10.62,9332500
6/5/2007,10.44,15284000
6/4/2007,10.79,8788200
5/31/2007,13.32,12719300
5/30/2007,14.8,9819100
5/29/2007,16.44,10217600
5/28/2007,16.19,13164800
5/25/2007,16.51,14069000
5/24/2007,15.37,18862900
5/23/2007,14.83,14212100
5/22/2007,15,26369200
5/18/2007,15.36,17918800
5/17/2007,13.96,14778500
5/16/2007,12.69,8116100
5/15/2007,11.99,9764700
5/14/2007,12.86,10957900
5/11/2007,12.77,12026000
5/9/2007,13.07,18584300
5/8/2007,12.62,21433300
4/30/2007,11.7,19526600
4/27/2007,10.64,10639400
4/26/2007,10.37,5924300
4/24/2007,10.62,12583500
4/23/2007,10.84,15149700
4/20/2007,10.06,13563000
4/19/2007,9.22,27971000
4/18/2007,9.87,18689900
4/17/2007,9.48,17063300
4/16/2007,8.91,8810300
4/13/2007,8.61,9812900
4/12/2007,9.15,8583000
4/11/2007,8.81,7772900
4/10/2007,8.79,5917700
4/9/2007,8.66,6698700
4/6/2007,8.72,5010900
4/5/2007,8.54,5188400
4/4/2007,8.33,3449300
4/3/2007,8.3,4246800
4/2/2007,8.22,3801000
3/30/2007,7.94,2998100
3/29/2007,7.9,5161900
3/28/2007,8.29,8766700
3/27/2007,8.39,8380300
3/26/2007,7.86,6465400
3/23/2007,7.71,9325600
3/22/2007,7.27,6859500
